Outcome,Model,Evaluation_weighting,Axis,Metric,Minimum_group,Minimum,Maximum_group,Maximum,Max_minus_min,Eligible_groups_N,Interpretation
MEDNG,LR,WTFA_A,Age,AUROC,50-64,0.7485819602295043,65-74,0.7986590413879748,0.05007708115847054,4,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Age,Recall,65-74,0.2070868083909933,18-34,0.5950776736104131,0.3879908652194198,4,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,LR,WTFA_A,Age,FNR,18-34,0.40492232638958714,65-74,0.7929131916090068,0.3879908652194196,4,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Age,FPR,65-74,0.024490283542548546,18-34,0.16547573304844262,0.1409854495058941,4,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Age,Brier,65-74,0.02657959333108354,50-64,0.07147267454823641,0.04489308121715287,4,Descriptive between-group max-minus-min span
MEDNG,LR,WTFA_A,Age,Calibration_abs_error,35-49,0.004675255638537407,18-34,0.021293664446269303,0.016618408807731896,4,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Race_ethnicity,AUPRC,NH Black,0.23238416121974703,Hispanic,0.40168540363942007,0.16930124241967304,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Race_ethnicity,AUROC,NH Black,0.7548076923076923,Hispanic,0.8204672275710526,0.06565953526336032,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Race_ethnicity,Recall,NH White,0.46402877697841727,Hispanic,0.7777777777777778,0.3137490007993605,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,Unweighted,Race_ethnicity,FNR,Hispanic,0.2222222222222222,NH White,0.5359712230215827,0.3137490007993605,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Race_ethnicity,FPR,NH White,0.09788092835519677,Hispanic,0.29508196721311475,0.19720103885791798,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Race_ethnicity,Brier,NH White,0.054666378852677465,Hispanic,0.06769464001074443,0.013028261158066969,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Race_ethnicity,Calibration_abs_error,NH White,0.005725055720887835,Hispanic,0.009962571846257318,0.004237516125369482,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Race_ethnicity,AUPRC,NH Black,0.20380226425875428,Hispanic,0.4615145677068986,0.25771230344814433,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Race_ethnicity,AUROC,NH Black,0.7534143772290325,Hispanic,0.828808186494288,0.07539380926525552,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Race_ethnicity,Recall,NH White,0.47219819279532604,Hispanic,0.8020162739356084,0.3298180811402823,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,WTFA_A,Race_ethnicity,FNR,Hispanic,0.19798372606439157,NH White,0.5278018072046738,0.32981808114028227,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Race_ethnicity,FPR,NH White,0.10735497803139521,Hispanic,0.32113692691846274,0.21378194888706753,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Race_ethnicity,Brier,NH Black,0.05457020344526424,Hispanic,0.07351282801084892,0.01894262456558468,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Race_ethnicity,Calibration_abs_error,Hispanic,0.0037875104451300656,NH Black,0.02087860366005219,0.017091093214922123,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Poverty,AUPRC,>=200% FPL,0.2783786435204899,100-199% FPL,0.36311950081202693,0.08474085729153702,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Poverty,AUROC,<100% FPL,0.7262662074554295,>=200% FPL,0.8101919163256132,0.08392570887018369,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Poverty,Recall,>=200% FPL,0.4177215189873418,100-199% FPL,0.7272727272727273,0.3095512082853855,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,Unweighted,Poverty,FNR,100-199% FPL,0.2727272727272727,>=200% FPL,0.5822784810126582,0.3095512082853855,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Poverty,FPR,>=200% FPL,0.0815807718973885,<100% FPL,0.3371150729335494,0.2555343010361609,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Poverty,Brier,>=200% FPL,0.04432806590352963,<100% FPL,0.09333301123976302,0.04900494533623339,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Poverty,Calibration_abs_error,>=200% FPL,0.004464363306983882,100-199% FPL,0.013613065116728024,0.009148701809744142,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Poverty,AUPRC,>=200% FPL,0.2558897106148201,100-199% FPL,0.4431342883950979,0.1872445777802778,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Poverty,AUROC,<100% FPL,0.7533938699451108,>=200% FPL,0.8054546009374743,0.052060730992363524,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Poverty,Recall,>=200% FPL,0.4549257549984883,100-199% FPL,0.7598152488910276,0.3048894938925393,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,WTFA_A,Poverty,FNR,100-199% FPL,0.24018475110897242,>=200% FPL,0.5450742450015117,0.3048894938925393,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Poverty,FPR,>=200% FPL,0.10069215121507644,<100% FPL,0.37476166434107294,0.2740695131259965,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Poverty,Brier,>=200% FPL,0.04567837938043004,<100% FPL,0.09014362030359567,0.04446524092316563,3,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Poverty,Calibration_abs_error,<100% FPL,0.005435534547574464,100-199% FPL,0.017107568225664116,0.011672033678089652,3,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Insurance,AUPRC,Insured,0.19723942373262743,Uninsured,0.5404857890190479,0.34324636528642044,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Insurance,AUROC,Uninsured,0.7658884870120719,Insured,0.7759710453780522,0.010082558365980265,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Insurance,Recall,Insured,0.35987261146496813,Uninsured,1.0,0.6401273885350318,2,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,Unweighted,Insurance,FNR,Uninsured,0.0,Insured,0.6401273885350318,0.6401273885350318,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Insurance,FPR,Insured,0.08426866203456262,Uninsured,0.9799426934097422,0.8956740313751795,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Insurance,Brier,Insured,0.0468879583669829,Uninsured,0.17493559865331193,0.12804764028632903,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Insurance,Calibration_abs_error,Insured,0.0045378305061923585,Uninsured,0.06639425246489011,0.061856421958697755,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Insurance,AUPRC,Insured,0.19216946852784447,Uninsured,0.5509719872456115,0.358802518717767,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Insurance,AUROC,Insured,0.7632352353443848,Uninsured,0.7814752552873319,0.018240019942947105,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Insurance,Recall,Insured,0.35872991776936625,Uninsured,1.0,0.6412700822306338,2,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,WTFA_A,Insurance,FNR,Uninsured,0.0,Insured,0.6412700822306336,0.6412700822306336,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Insurance,FPR,Insured,0.09156585145486874,Uninsured,0.9748966276745208,0.8833307762196521,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Insurance,Brier,Insured,0.04541781749305782,Uninsured,0.17161271993967495,0.12619490244661713,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Insurance,Calibration_abs_error,Insured,0.009018489130631212,Uninsured,0.06296572494328659,0.05394723581265538,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Sex,AUPRC,Male,0.2981163057737149,Female,0.311335847311283,0.013219541537568102,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Sex,AUROC,Male,0.7995068761923524,Female,0.809608094228288,0.010101218035935666,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Sex,Recall,Male,0.5251396648044693,Female,0.5521235521235521,0.026983887319082855,2,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,Unweighted,Sex,FNR,Female,0.44787644787644787,Male,0.4748603351955307,0.026983887319082855,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Sex,FPR,Male,0.13134220942785174,Female,0.14254454517036574,0.011202335742514002,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Sex,Brier,Male,0.05069427451492,Female,0.06130990340652419,0.010615628891604188,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Sex,Calibration_abs_error,Male,0.004046494889009912,Female,0.004660323373195524,0.000613828484185612,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Sex,AUPRC,Female,0.3187854579143683,Male,0.347680232897569,0.0288947749832007,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Sex,AUROC,Female,0.7944748361705488,Male,0.8196033157633971,0.025128479592848252,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Sex,Recall,Female,0.5647322908310116,Male,0.6084986972215317,0.043766406390520096,2,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,WTFA_A,Sex,FNR,Male,0.3915013027784681,Female,0.43526770916898827,0.04376640639052015,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Sex,FPR,Male,0.1542088733601912,Female,0.1641363561710127,0.00992748281082148,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Sex,Brier,Male,0.049829363298064956,Female,0.06518991982783723,0.015360556529772272,2,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Sex,Calibration_abs_error,Female,0.004621041843409057,Male,0.008951524533052028,0.004330482689642971,2,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Age,AUPRC,65-74,0.12221735163108825,35-49,0.3723227552621524,0.25010540363106415,4,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Age,AUROC,65-74,0.7486099563500312,18-34,0.7910408960589451,0.04243093970891387,4,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Age,Recall,65-74,0.3235294117647059,18-34,0.631578947368421,0.3080495356037151,4,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,Unweighted,Age,FNR,18-34,0.3684210526315789,65-74,0.6764705882352942,0.30804953560371523,4,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Age,FPR,65-74,0.053886925795053005,18-34,0.23200677392040644,0.17811984812535345,4,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Age,Brier,65-74,0.027181485797237833,50-64,0.07929700961692022,0.05211552381968239,4,Descriptive between-group max-minus-min span
MEDNG,RF,Unweighted,Age,Calibration_abs_error,18-34,0.0006346254457046119,50-64,0.018265575993284114,0.017630950547579502,4,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Age,AUPRC,65-74,0.14360429066896854,35-49,0.39922029712085294,0.2556160064518844,4,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Age,AUROC,50-64,0.7648165916404319,18-34,0.7982104912077898,0.03339389956735783,4,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Age,Recall,65-74,0.34053507618599416,18-34,0.6473276809152082,0.30679260472921405,4,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,RF,WTFA_A,Age,FNR,18-34,0.352672319084792,65-74,0.6594649238140058,0.30679260472921377,4,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Age,FPR,65-74,0.05383962541215096,18-34,0.22697783050941567,0.1731382050972647,4,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Age,Brier,65-74,0.026809482534835605,35-49,0.07199569691199156,0.04518621437715596,4,Descriptive between-group max-minus-min span
MEDNG,RF,WTFA_A,Age,Calibration_abs_error,18-34,0.0037038547928454207,65-74,0.013230023229370811,0.00952616843652539,4,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Race_ethnicity,AUPRC,NH Black,0.24110183417759581,Hispanic,0.348834546819538,0.1077327126419422,3,Descriptive between-group max-minus-min span
