Outcome,Model,Evaluation_weighting,Axis,Group,Metric,Point_estimate,CI95_lower,CI95_upper,Valid_replicates,Requested_replicates
MEDNG,LR,WTFA_A,Insurance,Insured,Brier,0.04508245441900089,0.03958745638180027,0.05040180782686608,400,400
MEDNG,LR,WTFA_A,Insurance,Insured,Calibration_abs_error,0.005655067562474914,0.0006675281742397027,0.011897490359778506,400,400
MEDNG,LR,Unweighted,Sex,Male,AUROC,0.7899539844926333,0.7542603266868311,0.8196958902162313,400,400
MEDNG,LR,Unweighted,Sex,Male,AUPRC,0.2868951783072135,0.22821493853016925,0.3516762260990131,400,400
MEDNG,LR,Unweighted,Sex,Male,Recall,0.41899441340782123,0.35427472527472526,0.4811885569780306,400,400
MEDNG,LR,Unweighted,Sex,Male,FNR,0.5810055865921788,0.5188114430219694,0.6457252747252746,400,400
MEDNG,LR,Unweighted,Sex,Male,FPR,0.06908960057574667,0.059599615403490555,0.07763928506892455,400,400
MEDNG,LR,Unweighted,Sex,Male,Brier,0.04983020670322434,0.043780261406647536,0.056179875306581285,400,400
MEDNG,LR,Unweighted,Sex,Male,Calibration_abs_error,0.0014047038804322065,0.00016877208558605097,0.009188696990110726,400,400
MEDNG,LR,WTFA_A,Sex,Male,AUROC,0.8124179110214489,0.7702309416278333,0.8453780537199425,400,400
MEDNG,LR,WTFA_A,Sex,Male,AUPRC,0.34076769477818636,0.24711363396288874,0.43121684711202624,400,400
MEDNG,LR,WTFA_A,Sex,Male,Recall,0.5160967560449605,0.42268277363676837,0.5948367909402178,400,400
MEDNG,LR,WTFA_A,Sex,Male,FNR,0.4839032439550394,0.40516320905978204,0.5773172263632316,400,400
MEDNG,LR,WTFA_A,Sex,Male,FPR,0.08408494918058164,0.07028298587949527,0.09808110221556657,400,400
MEDNG,LR,WTFA_A,Sex,Male,Brier,0.04798761229116536,0.04130790406043271,0.05540303075218087,400,400
MEDNG,LR,WTFA_A,Sex,Male,Calibration_abs_error,0.004487813830737243,0.000287764962604532,0.013925557261945384,400,400
MEDNG,LR,Unweighted,Sex,Female,AUROC,0.7947928949804536,0.7717449560469359,0.8210542039274651,400,400
MEDNG,LR,Unweighted,Sex,Female,AUPRC,0.30859133885632234,0.262899232623686,0.36812217606861897,400,400
MEDNG,LR,Unweighted,Sex,Female,Recall,0.4555984555984556,0.3984163215361446,0.5148290598290598,400,400
MEDNG,LR,Unweighted,Sex,Female,FNR,0.5444015444015444,0.48517094017094015,0.6015836784638554,400,400
MEDNG,LR,Unweighted,Sex,Female,FPR,0.09690528290090654,0.08602771835142986,0.10710725473592249,400,400
MEDNG,LR,Unweighted,Sex,Female,Brier,0.060309630148580595,0.05416722375296592,0.06630753817217028,400,400
MEDNG,LR,Unweighted,Sex,Female,Calibration_abs_error,0.0006631944151203606,0.0001102843830781998,0.00903912935430511,400,400
MEDNG,LR,WTFA_A,Sex,Female,AUROC,0.7793543051526927,0.747308666438654,0.8124314316768486,400,400
MEDNG,LR,WTFA_A,Sex,Female,AUPRC,0.30407290905438983,0.24077019428577812,0.3954924776905134,400,400
MEDNG,LR,WTFA_A,Sex,Female,Recall,0.48048160920245564,0.4183942785348204,0.5514708089509944,400,400
MEDNG,LR,WTFA_A,Sex,Female,FNR,0.5195183907975441,0.44852919104900546,0.5816057214651795,400,400
MEDNG,LR,WTFA_A,Sex,Female,FPR,0.11460155599681451,0.10183965853989205,0.1282204057471031,400,400
MEDNG,LR,WTFA_A,Sex,Female,Brier,0.0645591292410609,0.05719436166657496,0.07245237548806324,400,400
MEDNG,LR,WTFA_A,Sex,Female,Calibration_abs_error,0.002503943242851178,0.00019966273430514707,0.011783787732737241,400,400
MEDNG,LR,Unweighted,Age,18-34,AUROC,0.7876316532228114,0.7400140912860401,0.8340578038380793,400,400
MEDNG,LR,Unweighted,Age,18-34,AUPRC,0.3480922694061638,0.27373896958888877,0.4369741450045256,400,400
MEDNG,LR,Unweighted,Age,18-34,Recall,0.5701754385964912,0.4766355140186916,0.6565730837789662,400,400
MEDNG,LR,Unweighted,Age,18-34,FNR,0.4298245614035088,0.3434269162210339,0.5233644859813084,400,400
MEDNG,LR,Unweighted,Age,18-34,FPR,0.1668077900084674,0.14673690231644537,0.1858167033312382,400,400
MEDNG,LR,Unweighted,Age,18-34,Brier,0.06939773594942908,0.05940562269541064,0.07869620173153699,400,400
MEDNG,LR,Unweighted,Age,18-34,Calibration_abs_error,0.017873031184806765,0.004352980137421821,0.0313430568156451,400,400
MEDNG,LR,WTFA_A,Age,18-34,AUROC,0.7985737841990175,0.7401333597610816,0.8500882764431784,400,400
MEDNG,LR,WTFA_A,Age,18-34,AUPRC,0.3470128800249038,0.26020787888065317,0.465064859901983,400,400
MEDNG,LR,WTFA_A,Age,18-34,Recall,0.5950776736104131,0.49725063886887627,0.6925582840744446,400,400
MEDNG,LR,WTFA_A,Age,18-34,FNR,0.40492232638958714,0.3074417159255554,0.5027493611311233,400,400
MEDNG,LR,WTFA_A,Age,18-34,FPR,0.16547573304844262,0.14044102243333306,0.18808886084812904,400,400
MEDNG,LR,WTFA_A,Age,18-34,Brier,0.06477602033350163,0.05383860861714962,0.07555726475418309,400,400
MEDNG,LR,WTFA_A,Age,18-34,Calibration_abs_error,0.021293664446269303,0.00632141970246827,0.03542141341186434,400,400
MEDNG,LR,Unweighted,Age,35-49,AUROC,0.7796695856812579,0.740698228258356,0.8151380019771204,400,400
MEDNG,LR,Unweighted,Age,35-49,AUPRC,0.3668163425946563,0.28464206600644587,0.45168958148474886,400,400
MEDNG,LR,Unweighted,Age,35-49,Recall,0.5038167938931297,0.4316356670760952,0.5851897018970189,400,400
MEDNG,LR,Unweighted,Age,35-49,FNR,0.4961832061068702,0.41481029810298103,0.5683643329239048,400,400
MEDNG,LR,Unweighted,Age,35-49,FPR,0.12006196746707978,0.103736757352318,0.13785555299716018,400,400
MEDNG,LR,Unweighted,Age,35-49,Brier,0.07049675979542044,0.05941853244917808,0.0814534928427737,400,400
MEDNG,LR,Unweighted,Age,35-49,Calibration_abs_error,0.0074991889110394006,0.00025587398555367534,0.020879939088543662,400,400
MEDNG,LR,WTFA_A,Age,35-49,AUROC,0.7862338712563064,0.7407997133618084,0.829221192380721,400,400
MEDNG,LR,WTFA_A,Age,35-49,AUPRC,0.3875040718921604,0.2861932760977069,0.5002607724181958,400,400
MEDNG,LR,WTFA_A,Age,35-49,Recall,0.5344169812074789,0.444735001385924,0.6270287727313679,400,400
MEDNG,LR,WTFA_A,Age,35-49,FNR,0.465583018792521,0.372971227268632,0.555264998614076,400,400
MEDNG,LR,WTFA_A,Age,35-49,FPR,0.12408170877895774,0.1020645155965783,0.14446380996728098,400,400
MEDNG,LR,WTFA_A,Age,35-49,Brier,0.06840255502795523,0.055433511830249214,0.08052728308331346,400,400
MEDNG,LR,WTFA_A,Age,35-49,Calibration_abs_error,0.004675255638537407,0.000286038088333368,0.020444477909870532,400,400
MEDNG,LR,Unweighted,Age,50-64,AUROC,0.7464933296220451,0.7033800745675719,0.7876244475331372,400,400
MEDNG,LR,Unweighted,Age,50-64,AUPRC,0.2933561321538491,0.23571894363556165,0.3600442320507163,400,400
MEDNG,LR,Unweighted,Age,50-64,Recall,0.3767123287671233,0.30185596251079044,0.4416110298152551,400,400
MEDNG,LR,Unweighted,Age,50-64,FNR,0.6232876712328768,0.5583889701847448,0.6981440374892095,400,400
MEDNG,LR,Unweighted,Age,50-64,FPR,0.08127721335268505,0.06750086092033188,0.09551741295504823,400,400
MEDNG,LR,Unweighted,Age,50-64,Brier,0.07942271112384622,0.06894668130538478,0.09016752353844727,400,400
MEDNG,LR,Unweighted,Age,50-64,Calibration_abs_error,0.02676385662986687,0.014558956462282608,0.04025654430525451,400,400
MEDNG,LR,WTFA_A,Age,50-64,AUROC,0.7485819602295043,0.7011398764755915,0.7920567750539985,400,400
MEDNG,LR,WTFA_A,Age,50-64,AUPRC,0.2884476247308694,0.22046512227492887,0.3765388554598047,400,400
MEDNG,LR,WTFA_A,Age,50-64,Recall,0.4124134266957016,0.3261882789088811,0.49231788320937064,400,400
MEDNG,LR,WTFA_A,Age,50-64,FNR,0.5875865733042983,0.5076821167906296,0.6738117210911189,400,400
MEDNG,LR,WTFA_A,Age,50-64,FPR,0.07917498206477891,0.06280062093073947,0.09755168374484785,400,400
MEDNG,LR,WTFA_A,Age,50-64,Brier,0.07147267454823641,0.059991560379066465,0.08533244042522203,400,400
MEDNG,LR,WTFA_A,Age,50-64,Calibration_abs_error,0.019172785504412204,0.006068586857640848,0.036602012415082236,400,400
MEDNG,LR,Unweighted,Age,65-74,AUROC,0.7871804198711286,0.7122623725949243,0.8648794835539413,400,400
MEDNG,LR,Unweighted,Age,65-74,AUPRC,0.12782691583197875,0.07227753809243488,0.24598128037112393,400,400
MEDNG,LR,Unweighted,Age,65-74,Recall,0.17647058823529413,0.05878151260504202,0.3030934343434343,400,400
MEDNG,LR,Unweighted,Age,65-74,FNR,0.8235294117647058,0.6969065656565657,0.941218487394958,400,400
MEDNG,LR,Unweighted,Age,65-74,FPR,0.023851590106007067,0.015138416654445106,0.03232096770759655,400,400
MEDNG,LR,Unweighted,Age,65-74,Brier,0.027241283955449926,0.020056062219982376,0.03541852291782908,400,400
MEDNG,LR,Unweighted,Age,65-74,Calibration_abs_error,0.009278093577058721,0.0015085375916152454,0.01770535667482467,400,400
MEDNG,LR,WTFA_A,Age,65-74,AUROC,0.7986590413879748,0.7173945607238419,0.8722451493375951,400,400
MEDNG,LR,WTFA_A,Age,65-74,AUPRC,0.15904343066600526,0.06771483133918657,0.36829823720081317,400,400
MEDNG,LR,WTFA_A,Age,65-74,Recall,0.2070868083909933,0.04668212037792126,0.39973156060608084,400,400
MEDNG,LR,WTFA_A,Age,65-74,FNR,0.7929131916090068,0.6002684393939189,0.9533178796220788,400,400
MEDNG,LR,WTFA_A,Age,65-74,FPR,0.024490283542548546,0.01552801601532023,0.03542522163086546,400,400
MEDNG,LR,WTFA_A,Age,65-74,Brier,0.02657959333108354,0.016993472047313607,0.035950766679764164,400,400
MEDNG,LR,WTFA_A,Age,65-74,Calibration_abs_error,0.00831203893428455,0.0008664884746897979,0.019769133046999527,400,400
