Outcome,Model,Selected_probability,Locked_threshold,Split,Equity_domain,Axis,Group,Group_order,N,Positive_N,Negative_N,Eligible_for_comparison,Exclusion_reason,Evaluation_weighting,Weighted_denominator,Observed_prevalence,Mean_predicted_probability,Calibration_signed_error,Calibration_abs_error,Calibration_intercept,Calibration_slope,ECE_5bin,Predicted_positive_rate,AUROC,AUPRC,Recall,FNR,FPR,Specificity,Precision,F1,Brier
MEDNG,RF,Raw,0.1099999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH White,2,4242,278,3964,True,,Unweighted,4242.0,0.06553512494106553,0.059810069220177696,-0.005725055720887835,0.005725055720887835,1.219100244402677,1.4617902315230629,0.02191530564270783,0.12187647336162187,0.8118207754684243,0.2979241618882363,0.46402877697841727,0.5359712230215827,0.09788092835519677,0.9021190716448032,0.2495164410058027,0.32452830188679244,0.054666378852677465
MEDNG,RF,Raw,0.1099999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH White,2,4242,278,3964,True,,WTFA_A,30279142.281999998,0.06770372574980987,0.06305951100159858,-0.004644214748211292,0.004644214748211292,1.1859008439596108,1.4672117658530863,0.023531406771802103,0.13205622298545136,0.8101180790899718,0.3139119152619033,0.47219819279532604,0.5278018072046738,0.10735497803139521,0.8926450219686048,0.24209065064728294,0.3200799474266925,0.05597701124207111
MEDNG,RF,Raw,0.1099999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH Black,3,670,46,624,True,,Unweighted,670.0,0.06865671641791045,0.07771843707955729,0.009061720661646844,0.009061720661646844,0.3592410570489068,1.2307261941285335,0.010271959100891985,0.21194029850746268,0.7548076923076923,0.23238416121974703,0.5434782608695652,0.45652173913043476,0.1875,0.8125,0.176056338028169,0.26595744680851063,0.05905603924644374
MEDNG,RF,Raw,0.1099999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH Black,3,670,46,624,True,,WTFA_A,6129295.214,0.06195130855056251,0.0828299122106147,0.02087860366005219,0.02087860366005219,0.1380241892290396,1.2243206601458456,0.0208786036600522,0.23555445309637518,0.7534143772290325,0.20380226425875428,0.5975459584585932,0.4024540415414065,0.211647541178268,0.7883524588217318,0.15715582345821325,0.248860753759395,0.05457020344526424
MEDNG,RF,Raw,0.1099999999999999,locked_test,Income/poverty,Poverty,<100% FPL,1,697,80,617,True,,Unweighted,697.0,0.11477761836441894,0.10241454814683627,-0.012363070217582664,0.012363070217582664,0.3296752640929988,1.0993426268753141,0.0342194006752042,0.3701578192252511,0.7262662074554295,0.3158665426328716,0.625,0.375,0.3371150729335494,0.6628849270664505,0.1937984496124031,0.2958579881656805,0.09333301123976302
MEDNG,RF,Raw,0.1099999999999999,locked_test,Income/poverty,Poverty,<100% FPL,1,697,80,617,True,,WTFA_A,5201217.494,0.11443945608631761,0.10900392153874315,-0.005435534547574464,0.005435534547574464,0.5901521312587286,1.2903154729323936,0.04248201199498853,0.41183144301713753,0.7533938699451108,0.3465957034346774,0.6986864709052023,0.30131352909479775,0.37476166434107294,0.625238335658927,0.19415054644560703,0.3038636559288147,0.09014362030359567
MEDNG,RF,Raw,0.1099999999999999,locked_test,Income/poverty,Poverty,100-199% FPL,2,1156,121,1035,True,,Unweighted,1156.0,0.1046712802768166,0.09105821516008858,-0.013613065116728024,0.013613065116728024,0.907674612223628,1.3744097553416998,0.025869866943232588,0.30190311418685123,0.7902543218748752,0.36311950081202693,0.7272727272727273,0.2727272727272727,0.25217391304347825,0.7478260869565218,0.2521489971346705,0.37446808510638296,0.08185549334841036
MEDNG,RF,Raw,0.1099999999999999,locked_test,Income/poverty,Poverty,100-199% FPL,2,1156,121,1035,True,,WTFA_A,8601421.037999999,0.11857618927083152,0.1014686210451674,-0.017107568225664116,0.017107568225664116,1.0884360528870745,1.4791229107529442,0.026430787385076752,0.3502303691089236,0.7908643521923607,0.4431342883950979,0.7598152488910276,0.24018475110897242,0.2951297312133624,0.7048702687866376,0.25724781375354144,0.38436320974155197,0.08871540172545588
MEDNG,RF,Raw,0.1099999999999999,locked_test,Income/poverty,Poverty,>=200% FPL,3,4564,237,4327,True,,Unweighted,4564.0,0.051928133216476775,0.05639249652346066,0.004464363306983882,0.004464363306983882,1.3238553873734127,1.571459304732718,0.017581076060604356,0.09903593339176162,0.8101919163256132,0.2783786435204899,0.4177215189873418,0.5822784810126582,0.0815807718973885,0.9184192281026116,0.21902654867256638,0.2873730043541364,0.04432806590352963
MEDNG,RF,Raw,0.1099999999999999,locked_test,Income/poverty,Poverty,>=200% FPL,3,4564,237,4327,True,,WTFA_A,36447248.961,0.053208068627487205,0.06085582942865073,0.007647760801163528,0.007647760801163528,1.1453841633213613,1.5401434545694965,0.016197729169142833,0.11954023711534631,0.8054546009374743,0.2558897106148201,0.4549257549984883,0.5450742450015117,0.10069215121507644,0.8993078487849234,0.20249015207335172,0.2802426418978083,0.04567837938043004
MEDNG,RF,Raw,0.1099999999999999,locked_test,Insurance,Insurance,Uninsured,1,471,122,349,True,,Unweighted,471.0,0.25902335456475584,0.19262910209986572,-0.06639425246489011,0.06639425246489011,2.282039507038711,2.3715332814300893,0.09723597027663611,0.9851380042462845,0.7658884870120719,0.5404857890190479,1.0,0.0,0.9799426934097422,0.02005730659025788,0.2629310344827586,0.41638225255972694,0.17493559865331193
MEDNG,RF,Raw,0.1099999999999999,locked_test,Insurance,Insurance,Uninsured,1,471,122,349,True,,WTFA_A,4739806.264,0.2565312791864777,0.19356555424319113,-0.06296572494328659,0.06296572494328659,2.4277742789611025,2.5016776392291376,0.11314645413490945,0.9813364278890704,0.7814752552873319,0.5509719872456115,1.0,0.0,0.9748966276745208,0.02510337232547925,0.261410125922153,0.4144728515335951,0.17161271993967495
MEDNG,RF,Raw,0.1099999999999999,locked_test,Insurance,Insurance,Insured,2,5927,314,5613,True,,Unweighted,5927.0,0.05297789775603172,0.05751572826222408,0.0045378305061923585,0.0045378305061923585,0.8367585543932455,1.3688356996828648,0.01425920292369771,0.09886957988864518,0.7759710453780522,0.19723942373262743,0.35987261146496813,0.6401273885350318,0.08426866203456262,0.9157313379654374,0.19283276450511946,0.2511111111111111,0.0468879583669829
MEDNG,RF,Raw,0.1099999999999999,locked_test,Insurance,Insurance,Insured,2,5927,314,5613,True,,WTFA_A,45336881.842,0.050953311986709264,0.059971801117340476,0.009018489130631212,0.009018489130631212,0.6914985380559198,1.3511933237131506,0.011485471913626491,0.1051787454774292,0.7632352353443848,0.19216946852784447,0.35872991776936625,0.6412700822306336,0.09156585145486874,0.9084341485451314,0.17378489671177472,0.2341412483245782,0.04541781749305782
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Sex,Male,1,2958,179,2779,True,,Unweighted,2958.0,0.06051386071670047,0.06456035560571038,0.004046494889009912,0.004046494889009912,1.0055918131044885,1.4671493987065953,0.014330747119319582,0.15517241379310345,0.7995068761923524,0.2981163057737149,0.5251396648044693,0.4748603351955307,0.13134220942785174,0.8686577905721482,0.2047930283224401,0.2946708463949843,0.05069427451492
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Sex,Male,1,2958,179,2779,True,,WTFA_A,24662417.391999997,0.060919929223457216,0.06987145375650924,0.008951524533052028,0.008951524533052028,1.226133865659042,1.6329743107169294,0.017075084019709502,0.18188417727676093,0.8196033157633971,0.347680232897569,0.6084986972215317,0.3915013027784681,0.1542088733601912,0.8457911266398087,0.2038093589135858,0.3053465454240028,0.049829363298064956
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Sex,Female,2,3458,259,3199,True,,Unweighted,3458.0,0.07489878542510121,0.07023846205190569,-0.004660323373195524,0.004660323373195524,1.0274065318047976,1.4267618009313061,0.01956403023748851,0.17322151532677849,0.809608094228288,0.311335847311283,0.5521235521235521,0.44787644787644787,0.14254454517036574,0.8574554548296343,0.2387312186978297,0.3333333333333333,0.06130990340652419
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Sex,Female,2,3458,259,3199,True,,WTFA_A,25582858.346,0.08021008459052192,0.07558904274711287,-0.004621041843409057,0.004621041843409057,0.894913782434134,1.3798363651631573,0.016858860227510188,0.19626818997671042,0.7944748361705488,0.3187854579143683,0.5647322908310116,0.43526770916898827,0.1641363561710127,0.8358636438289873,0.2307924927820945,0.3276729420382691,0.06518991982783723
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Age,18-34,1,1295,114,1181,True,,Unweighted,1295.0,0.08803088803088803,0.08739626258518342,-0.0006346254457046119,0.0006346254457046119,0.8340360410633543,1.4059105191146146,0.021159126093664604,0.2671814671814672,0.7910408960589451,0.3441086165897993,0.631578947368421,0.3684210526315789,0.23200677392040644,0.7679932260795935,0.20809248554913296,0.31304347826086953,0.07061342394865149
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Age,18-34,1,1295,114,1181,True,,WTFA_A,14117624.929,0.08234558247910229,0.0860494372719477,0.0037038547928454207,0.0037038547928454207,0.8858498543965855,1.4626376620285944,0.02128137833187005,0.2615917837860842,0.7982104912077898,0.3425265498126413,0.6473276809152082,0.352672319084792,0.22697783050941567,0.7730221694905842,0.20377006558967048,0.3099667565559584,0.06597360670496259
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Age,35-49,2,1422,131,1291,True,,Unweighted,1422.0,0.09212376933895922,0.08243961284929739,-0.009684156489661824,0.009684156489661824,1.0913969673172836,1.4515300005642957,0.02408144096444615,0.22292545710267228,0.7795808917875368,0.3723227552621524,0.5801526717557252,0.4198473282442748,0.18667699457784662,0.8133230054221534,0.23974763406940064,0.3392857142857143,0.07379487500168073
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Age,35-49,2,1422,131,1291,True,,WTFA_A,12564871.543,0.09079530054054291,0.08487730868557683,-0.0059179918549660815,0.0059179918549660815,1.111384681542653,1.4955250653939183,0.022487911774544338,0.23808541398631314,0.7832381175656524,0.39922029712085294,0.596866150290927,0.40313384970907273,0.20225673338193262,0.7977432666180675,0.22761848611715862,0.3295580379415423,0.07199569691199156
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Age,50-64,3,1524,146,1378,True,,Unweighted,1524.0,0.09580052493438321,0.0775349489410991,-0.018265575993284114,0.018265575993284114,0.8931565117908319,1.2881940796635107,0.023552571450078795,0.19160104986876642,0.7593121856174324,0.2868209013658422,0.5068493150684932,0.4931506849315068,0.15820029027576196,0.841799709724238,0.2534246575342466,0.3378995433789954,0.07929700961692022
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Age,50-64,3,1524,146,1378,True,,WTFA_A,11722892.652,0.08642849338274397,0.07729644181423984,-0.009132051568504135,0.009132051568504135,0.9205489705607535,1.3575622365844116,0.017098323315072276,0.19097304363851303,0.7648165916404319,0.2924579961432464,0.5439469964205697,0.45605300357943024,0.15757991926747683,0.8424200807325232,0.24617358808862685,0.33894923500078616,0.07124308616931103
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Age,65-74,4,1166,34,1132,True,,Unweighted,1166.0,0.029159519725557463,0.042354741952519884,0.01319522222696242,0.01319522222696242,0.7137057324003959,1.3962782851777078,0.013195222226962428,0.06174957118353345,0.7486099563500312,0.12221735163108825,0.3235294117647059,0.6764705882352942,0.053886925795053005,0.946113074204947,0.1527777777777778,0.20754716981132076,0.027181485797237833
MEDNG,RF,Raw,0.1099999999999999,locked_test,Demographic (sex/age),Age,65-74,4,1166,34,1132,True,,WTFA_A,6372953.367000001,0.0290827058236028,0.04231272905297361,0.013230023229370811,0.013230023229370811,1.0108910715853234,1.5085512936809808,0.013230023229370813,0.06217750486797183,0.7671654790310168,0.14360429066896854,0.34053507618599416,0.6594649238140058,0.05383962541215096,0.946160374587849,0.15928077950964717,0.21704270389657926,0.026809482534835605
MEDNG,XGBoost,Raw,0.1849999999999999,locked_test,Race/ethnicity,Race_ethnicity,Hispanic,1,935,81,854,True,,Unweighted,935.0,0.08663101604278074,0.09947456599407416,0.012843549951293415,0.012843549951293415,-0.12109792469288386,1.0325139103853997,0.013092257120810896,0.15614973262032086,0.8011680689276317,0.348834546819538,0.5061728395061729,0.49382716049382713,0.12295081967213115,0.8770491803278688,0.2808219178082192,0.3612334801762115,0.06809398775578866
MEDNG,XGBoost,Raw,0.1849999999999999,locked_test,Race/ethnicity,Race_ethnicity,Hispanic,1,935,81,854,True,,WTFA_A,9073456.936,0.09746459957188691,0.10239118706166749,0.004926587489780573,0.004926587489780573,0.0901028967429021,1.089789957154781,0.00949311884216023,0.16968074570249989,0.8030371023096324,0.3819069557770443,0.5438769583375356,0.4561230416624643,0.12927137892476395,0.8707286210752361,0.3124028583283316,0.39685325534156757,0.07424567165720225
MEDNG,XGBoost,Raw,0.1849999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH White,2,4242,278,3964,True,,Unweighted,4242.0,0.06553512494106553,0.06119662211226095,-0.0043385028288045815,0.0043385028288045815,0.01267375245144689,0.9669881499467772,0.006540643636801155,0.07119283356907119,0.8148838648556432,0.29920391206450037,0.37050359712230213,0.6294964028776978,0.05020181634712412,0.9497981836528759,0.34105960264900664,0.35517241379310344,0.0533074153967431
MEDNG,XGBoost,Raw,0.1849999999999999,locked_test,Race/ethnicity,Race_ethnicity,NH White,2,4242,278,3964,True,,WTFA_A,30279142.281999998,0.06770372574980987,0.06513267829547986,-0.002571047454330011,0.002571047454330011,0.020413191813707224,0.9870318677741415,0.009714938435416542,0.07973427164861328,0.8131040114137804,0.3039045638500475,0.3885157850721412,0.6114842149278589,0.057310435493898,0.9426895645061021,0.3298953588980805,0.35681393706013054,0.05479506366071936
