Outcome,Model,Evaluation_weighting,Axis,Metric,Point_estimate,CI95_lower,CI95_upper,Valid_replicates,Requested_replicates
MEDNG,LR,WTFA_A,Age,AUROC,0.05007708115847054,0.025844661582088837,0.1534230243080222,400,400
MEDNG,LR,WTFA_A,Age,Recall,0.3879908652194198,0.1993246928445947,0.5993793069886859,400,400
MEDNG,LR,WTFA_A,Age,FNR,0.3879908652194196,0.19932469284459486,0.599379306988686,400,400
MEDNG,LR,WTFA_A,Age,FPR,0.1409854495058941,0.11687634355058686,0.17011258751469754,400,400
MEDNG,LR,WTFA_A,Age,Brier,0.04489308121715287,0.03342338748270629,0.06244822066172986,400,400
MEDNG,LR,WTFA_A,Age,Calibration_abs_error,0.016618408807731896,0.006607793372287401,0.03469067620159596,400,400
MEDNG,RF,Unweighted,Race_ethnicity,AUPRC,0.16930124241967304,0.02694755302748616,0.32437822344488737,400,400
MEDNG,RF,Unweighted,Race_ethnicity,AUROC,0.06565953526336032,0.014598102221209983,0.16427243404061315,400,400
MEDNG,RF,Unweighted,Race_ethnicity,Recall,0.3137490007993605,0.218734387490008,0.43211485305235303,400,400
MEDNG,RF,Unweighted,Race_ethnicity,FNR,0.3137490007993605,0.21873438749000798,0.4321148530523531,400,400
MEDNG,RF,Unweighted,Race_ethnicity,FPR,0.19720103885791798,0.16527451603239812,0.22717423374914705,400,400
MEDNG,RF,Unweighted,Race_ethnicity,Brier,0.013028261158066969,0.004292106483962272,0.030726808104140933,400,400
MEDNG,RF,Unweighted,Race_ethnicity,Calibration_abs_error,0.004237516125369482,0.0020715939364467036,0.02581133995576739,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,AUPRC,0.25771230344814433,0.054476743884906954,0.4315338731079479,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,AUROC,0.07539380926525552,0.018579306944941462,0.1823622814455861,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Recall,0.3298180811402823,0.2221048914111263,0.4594226730308645,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,FNR,0.32981808114028227,0.2221048914111264,0.45942267303086465,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,FPR,0.21378194888706753,0.17527845175154302,0.24899200686456818,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Brier,0.01894262456558468,0.0049403936129132926,0.040020147638013336,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Calibration_abs_error,0.017091093214922123,0.004430863658938856,0.03741962823021231,400,400
MEDNG,RF,Unweighted,Poverty,AUPRC,0.08474085729153702,0.0269042550105543,0.19012013396516084,400,400
MEDNG,RF,Unweighted,Poverty,AUROC,0.08392570887018369,0.030283787012927117,0.15060443036320434,400,400
MEDNG,RF,Unweighted,Poverty,Recall,0.3095512082853855,0.20664509738620232,0.4174145828377686,400,400
MEDNG,RF,Unweighted,Poverty,FNR,0.3095512082853855,0.20664509738620232,0.41741458283776856,400,400
MEDNG,RF,Unweighted,Poverty,FPR,0.2555343010361609,0.21357923843969145,0.29051261172443954,400,400
MEDNG,RF,Unweighted,Poverty,Brier,0.04900494533623339,0.033331680378264554,0.0669226287262557,400,400
MEDNG,RF,Unweighted,Poverty,Calibration_abs_error,0.009148701809744142,0.0037953801501041644,0.03199923782472953,400,400
MEDNG,RF,WTFA_A,Poverty,AUPRC,0.1872445777802778,0.08627379984577405,0.32602216190701594,400,400
MEDNG,RF,WTFA_A,Poverty,AUROC,0.052060730992363524,0.011060782478318208,0.1518068846552025,400,400
MEDNG,RF,WTFA_A,Poverty,Recall,0.3048894938925393,0.20884189942739642,0.41347923343923443,400,400
MEDNG,RF,WTFA_A,Poverty,FNR,0.3048894938925393,0.2088418994273964,0.4134792334392344,400,400
MEDNG,RF,WTFA_A,Poverty,FPR,0.2740695131259965,0.22067099541055873,0.32246868146599283,400,400
MEDNG,RF,WTFA_A,Poverty,Brier,0.04446524092316563,0.032165546293750326,0.06335181127698543,400,400
MEDNG,RF,WTFA_A,Poverty,Calibration_abs_error,0.011672033678089652,0.0026753248006786538,0.034099107251407336,400,400
MEDNG,RF,Unweighted,Insurance,AUPRC,0.34324636528642044,0.2512877744255848,0.43342105566033295,400,400
MEDNG,RF,Unweighted,Insurance,AUROC,0.010082558365980265,0.0007836785484785975,0.06716291361017371,400,400
MEDNG,RF,Unweighted,Insurance,Recall,0.6401273885350318,0.5875887194201148,0.6958021880459375,400,400
MEDNG,RF,Unweighted,Insurance,FNR,0.6401273885350318,0.5875887194201148,0.6958021880459374,400,400
MEDNG,RF,Unweighted,Insurance,FPR,0.8956740313751795,0.877415132605865,0.9109549571522808,400,400
MEDNG,RF,Unweighted,Insurance,Brier,0.12804764028632903,0.10627551418104743,0.14867641027779765,400,400
MEDNG,RF,Unweighted,Insurance,Calibration_abs_error,0.061856421958697755,0.027328436685546995,0.09982187496533174,400,400
MEDNG,RF,WTFA_A,Insurance,AUPRC,0.358802518717767,0.2412509629528649,0.47467699023143,400,400
MEDNG,RF,WTFA_A,Insurance,AUROC,0.018240019942947105,0.002016861413998261,0.07412596612161387,400,400
MEDNG,RF,WTFA_A,Insurance,Recall,0.6412700822306338,0.572028610888718,0.7040734805898503,400,400
MEDNG,RF,WTFA_A,Insurance,FNR,0.6412700822306336,0.5720286108887183,0.7040734805898504,400,400
MEDNG,RF,WTFA_A,Insurance,FPR,0.8833307762196521,0.860675570162541,0.9017743570195671,400,400
MEDNG,RF,WTFA_A,Insurance,Brier,0.12619490244661713,0.10172746402027974,0.15360405222297752,400,400
MEDNG,RF,WTFA_A,Insurance,Calibration_abs_error,0.05394723581265538,0.014392927186868701,0.09299913822518335,400,400
MEDNG,RF,Unweighted,Sex,AUPRC,0.013219541537568102,0.0016549579467018502,0.10047104172761918,400,400
MEDNG,RF,Unweighted,Sex,AUROC,0.010101218035935666,0.0007194908579106374,0.04904781614362006,400,400
MEDNG,RF,Unweighted,Sex,Recall,0.026983887319082855,0.0017045438634377575,0.12371359779765675,400,400
MEDNG,RF,Unweighted,Sex,FNR,0.026983887319082855,0.0017045438634378644,0.12371359779765675,400,400
MEDNG,RF,Unweighted,Sex,FPR,0.011202335742514002,0.0004035228603786731,0.02607475783098025,400,400
MEDNG,RF,Unweighted,Sex,Brier,0.010615628891604188,0.0019498913184346947,0.01837654750984161,400,400
MEDNG,RF,Unweighted,Sex,Calibration_abs_error,0.000613828484185612,0.00020442694135167067,0.010247419469227885,400,400
MEDNG,RF,WTFA_A,Sex,AUPRC,0.0288947749832007,0.0019942990148992634,0.1505832326362481,400,400
MEDNG,RF,WTFA_A,Sex,AUROC,0.025128479592848252,0.001335134885503464,0.07062348077386545,400,400
MEDNG,RF,WTFA_A,Sex,Recall,0.043766406390520096,0.0017598813917409392,0.1343980607332684,400,400
MEDNG,RF,WTFA_A,Sex,FNR,0.04376640639052015,0.0017598813917408865,0.1343980607332688,400,400
MEDNG,RF,WTFA_A,Sex,FPR,0.00992748281082148,0.0004993714166615912,0.033410594685971996,400,400
MEDNG,RF,WTFA_A,Sex,Brier,0.015360556529772272,0.004751800753343753,0.025714466613866675,400,400
MEDNG,RF,WTFA_A,Sex,Calibration_abs_error,0.004330482689642971,0.0002639888906355404,0.015200978200261967,400,400
MEDNG,RF,Unweighted,Age,AUPRC,0.25010540363106415,0.13681909970557624,0.3589731125259834,400,400
MEDNG,RF,Unweighted,Age,AUROC,0.04243093970891387,0.017459511009199798,0.1625565708275846,400,400
MEDNG,RF,Unweighted,Age,Recall,0.3080495356037151,0.1573857445435067,0.5000764525993883,400,400
MEDNG,RF,Unweighted,Age,FNR,0.30804953560371523,0.15738574454350665,0.5000764525993883,400,400
MEDNG,RF,Unweighted,Age,FPR,0.17811984812535345,0.15172395129299263,0.2056801495916463,400,400
MEDNG,RF,Unweighted,Age,Brier,0.05211552381968239,0.042442576175143056,0.06489366249267725,400,400
MEDNG,RF,Unweighted,Age,Calibration_abs_error,0.017630950547579502,0.006618233795546956,0.02796296125802123,400,400
MEDNG,RF,WTFA_A,Age,AUPRC,0.2556160064518844,0.10752282317385536,0.41152379721407456,400,400
MEDNG,RF,WTFA_A,Age,AUROC,0.03339389956735783,0.023396652759616558,0.16920599782957413,400,400
MEDNG,RF,WTFA_A,Age,Recall,0.30679260472921405,0.11326617372132419,0.5276370902276022,400,400
MEDNG,RF,WTFA_A,Age,FNR,0.30679260472921377,0.11326617372132414,0.5276370902276023,400,400
MEDNG,RF,WTFA_A,Age,FPR,0.1731382050972647,0.14479577024047316,0.2032491453073958,400,400
MEDNG,RF,WTFA_A,Age,Brier,0.04518621437715596,0.03487172233703479,0.06379386010153518,400,400
MEDNG,RF,WTFA_A,Age,Calibration_abs_error,0.00952616843652539,0.004275687719194929,0.024646727075412735,400,400
MEDNG,XGBoost,Unweighted,Race_ethnicity,AUPRC,0.1077327126419422,0.02246147252902617,0.2523369305992006,400,400
MEDNG,XGBoost,Unweighted,Race_ethnicity,AUROC,0.08219852483334666,0.02421839029269785,0.17385207216206988,400,400
MEDNG,XGBoost,Unweighted,Race_ethnicity,Recall,0.13660762211486854,0.04603987000634113,0.3089516939219735,400,400
MEDNG,XGBoost,Unweighted,Race_ethnicity,FNR,0.13660762211486854,0.04603987000634113,0.3089516939219736,400,400
MEDNG,XGBoost,Unweighted,Race_ethnicity,FPR,0.07274900332500703,0.04950906134586903,0.0942034296418997,400,400
MEDNG,XGBoost,Unweighted,Race_ethnicity,Brier,0.014786572359045562,0.005310677625797275,0.030781710818981286,400,400
MEDNG,XGBoost,Unweighted,Race_ethnicity,Calibration_abs_error,0.008505047122488833,0.0026786232426664718,0.02654368068641299,400,400
MEDNG,XGBoost,WTFA_A,Race_ethnicity,AUPRC,0.15239078617505644,0.03521489023388641,0.3078927193560391,400,400
MEDNG,XGBoost,WTFA_A,Race_ethnicity,AUROC,0.07885137221112293,0.019583541195512248,0.17978293140227197,400,400
MEDNG,XGBoost,WTFA_A,Race_ethnicity,Recall,0.1553611732653944,0.05883171371447565,0.34455653190261354,400,400
MEDNG,XGBoost,WTFA_A,Race_ethnicity,FNR,0.15536117326539456,0.05883171371447571,0.3445565319026137,400,400
MEDNG,XGBoost,WTFA_A,Race_ethnicity,FPR,0.07196094343086595,0.04424586616657038,0.10148966820326838,400,400
MEDNG,XGBoost,WTFA_A,Race_ethnicity,Brier,0.01945060799648289,0.0057949048699738335,0.040406975457225484,400,400
MEDNG,XGBoost,WTFA_A,Race_ethnicity,Calibration_abs_error,0.019669734018875715,0.004499362093225755,0.03852564242394644,400,400
MEDNG,XGBoost,Unweighted,Poverty,AUPRC,0.04568938485591778,0.016091037533697335,0.1683339753075731,400,400
MEDNG,XGBoost,Unweighted,Poverty,AUROC,0.07877975381951208,0.024363528843936524,0.13987297607688623,400,400
MEDNG,XGBoost,Unweighted,Poverty,Recall,0.15409561669630717,0.06607009721610882,0.26356895463870783,400,400
MEDNG,XGBoost,Unweighted,Poverty,FNR,0.15409561669630711,0.06607009721610892,0.2635689546387079,400,400
MEDNG,XGBoost,Unweighted,Poverty,FPR,0.07848036539468498,0.06420892128102675,0.0990442317487955,400,400
MEDNG,XGBoost,Unweighted,Poverty,Brier,0.04819136907708145,0.034288682915816944,0.0654764901588362,400,400
MEDNG,XGBoost,Unweighted,Poverty,Calibration_abs_error,0.0117754310084437,0.0022237076875849878,0.03315229179899598,400,400
MEDNG,XGBoost,WTFA_A,Poverty,AUPRC,0.10673831866280842,0.037097135402673224,0.2590782748823804,400,400
MEDNG,XGBoost,WTFA_A,Poverty,AUROC,0.06287518272509396,0.020705774710999415,0.14437884440502416,400,400
MEDNG,XGBoost,WTFA_A,Poverty,Recall,0.1896488686568205,0.09837233214863114,0.31363384389888904,400,400
MEDNG,XGBoost,WTFA_A,Poverty,FNR,0.1896488686568208,0.09837233214863092,0.313633843898889,400,400
MEDNG,XGBoost,WTFA_A,Poverty,FPR,0.09074255733889025,0.06555987882044752,0.12289582931654529,400,400
MEDNG,XGBoost,WTFA_A,Poverty,Brier,0.04446118515744817,0.03245337337402675,0.06539844161827536,400,400
MEDNG,XGBoost,WTFA_A,Poverty,Calibration_abs_error,0.003909046771790124,0.0021210883993277637,0.031405880120072276,400,400
MEDNG,XGBoost,Unweighted,Insurance,AUPRC,0.30456092029162857,0.2169921462179585,0.40186252382495513,400,400
MEDNG,XGBoost,Unweighted,Insurance,AUROC,0.04888440180975928,0.0012516006782931051,0.1078875568176631,400,400
MEDNG,XGBoost,Unweighted,Insurance,Recall,0.5043332985277227,0.410038517768781,0.5954222803364346,400,400
MEDNG,XGBoost,Unweighted,Insurance,FNR,0.5043332985277227,0.41003851776878086,0.5954222803364345,400,400
MEDNG,XGBoost,Unweighted,Insurance,FPR,0.38684858165423386,0.342438455608364,0.4315813855629791,400,400
MEDNG,XGBoost,Unweighted,Insurance,Brier,0.11954944614650595,0.09894367941350493,0.14186737728951096,400,400
