Outcome,Model,Comparison,Metric,Before,After,Absolute_delta
MEDNG,LR,Combined_weighting_effect,Mean_predicted_probability,0.06799769042568968,0.07448822420828523,0.006490533782595551
MEDNG,LR,Combined_weighting_effect,Predicted_positive_rate,0.10846189808321646,0.12650040669017423,0.01803850860695777
MEDNG,RF,Evaluation_weighting_effect,AUROC,0.8061850418626533,0.8064529218651224,0.0002678800024691341
MEDNG,RF,Evaluation_weighting_effect,AUPRC,0.30499003800077684,0.3277842756105703,0.022794237609793433
MEDNG,RF,Evaluation_weighting_effect,Recall,0.541095890410959,0.5832320139759648,0.042136123565005845
MEDNG,RF,Evaluation_weighting_effect,Precision,0.2237960339943343,0.2179550047283107,-0.00584102926602359
MEDNG,RF,Evaluation_weighting_effect,F1,0.3166332665330661,0.3173250025179301,0.0006917359848639948
MEDNG,RF,Evaluation_weighting_effect,Specificity,0.8625188158554943,0.840704919454789,-0.0218138964007053
MEDNG,RF,Evaluation_weighting_effect,Brier,0.05641130620673,0.05764761888289977,0.0012363126761697693
MEDNG,RF,Evaluation_weighting_effect,Observed_prevalence,0.06825619448340346,0.07073520223294323,0.002479007749539769
MEDNG,RF,Evaluation_weighting_effect,Mean_predicted_probability,0.06763621488491223,0.07279130728004893,0.005155092395136701
MEDNG,RF,Evaluation_weighting_effect,Predicted_positive_rate,0.16503038803179054,0.18928234526544913,0.024251957233658583
MEDNG,RF,Training_weighting_effect,AUROC,0.8064529218651224,0.8071594968861121,0.000706575020989697
MEDNG,RF,Training_weighting_effect,AUPRC,0.3277842756105703,0.3258065510342967,-0.0019777245762735984
MEDNG,RF,Training_weighting_effect,Recall,0.5832320139759648,0.5849750702808695,0.0017430563049046777
MEDNG,RF,Training_weighting_effect,Precision,0.2179550047283107,0.21667690288232724,-0.0012781018459834537
MEDNG,RF,Training_weighting_effect,F1,0.3173250025179301,0.3162234753609898,-0.0011015271569402851
MEDNG,RF,Training_weighting_effect,Specificity,0.840704919454789,0.8390237577267684,-0.0016811617280205748
MEDNG,RF,Training_weighting_effect,Brier,0.05764761888289977,0.057688813414057495,4.119453115772331e-05
MEDNG,RF,Training_weighting_effect,Observed_prevalence,0.07073520223294323,0.07073520223294323,0.0
MEDNG,RF,Training_weighting_effect,Mean_predicted_probability,0.07279130728004893,0.073897047740877,0.001105740460828078
MEDNG,RF,Training_weighting_effect,Predicted_positive_rate,0.18928234526544913,0.19096788511888257,0.0016855398534334487
MEDNG,RF,Combined_weighting_effect,AUROC,0.8061850418626533,0.8071594968861121,0.0009744550234588312
MEDNG,RF,Combined_weighting_effect,AUPRC,0.30499003800077684,0.3258065510342967,0.020816513033519835
MEDNG,RF,Combined_weighting_effect,Recall,0.541095890410959,0.5849750702808695,0.04387917986991052
MEDNG,RF,Combined_weighting_effect,Precision,0.2237960339943343,0.21667690288232724,-0.007119131112007043
MEDNG,RF,Combined_weighting_effect,F1,0.3166332665330661,0.3162234753609898,-0.00040979117207629034
MEDNG,RF,Combined_weighting_effect,Specificity,0.8625188158554943,0.8390237577267684,-0.023495058128725876
MEDNG,RF,Combined_weighting_effect,Brier,0.05641130620673,0.057688813414057495,0.0012775072073274926
MEDNG,RF,Combined_weighting_effect,Observed_prevalence,0.06825619448340346,0.07073520223294323,0.002479007749539769
MEDNG,RF,Combined_weighting_effect,Mean_predicted_probability,0.06763621488491223,0.073897047740877,0.006260832855964779
MEDNG,RF,Combined_weighting_effect,Predicted_positive_rate,0.16503038803179054,0.19096788511888257,0.025937497087092032
MEDNG,XGBoost,Evaluation_weighting_effect,AUROC,0.808325524419181,0.80905152157792,0.0007259971587390002
MEDNG,XGBoost,Evaluation_weighting_effect,AUPRC,0.3049280111390447,0.3151669116424983,0.010238900503453607
MEDNG,XGBoost,Evaluation_weighting_effect,Recall,0.3995433789954338,0.4379480598738057,0.0384046808783719
MEDNG,XGBoost,Evaluation_weighting_effect,Precision,0.31645569620253167,0.3104213124148651,-0.006034383787666575
MEDNG,XGBoost,Evaluation_weighting_effect,F1,0.35317860746720486,0.36331901477959166,0.010140407312386801
MEDNG,XGBoost,Evaluation_weighting_effect,Specificity,0.9367787255393879,0.92594557392572,-0.010833151613667935
MEDNG,XGBoost,Evaluation_weighting_effect,Brier,0.05526331901402843,0.05669796127348241,0.001434642259453979
MEDNG,XGBoost,Evaluation_weighting_effect,Observed_prevalence,0.06825619448340346,0.07073520223294323,0.002479007749539769
MEDNG,XGBoost,Evaluation_weighting_effect,Mean_predicted_probability,0.06828712288989298,0.0735903569626868,0.0053032340727938165
MEDNG,XGBoost,Evaluation_weighting_effect,Predicted_positive_rate,0.08617734143680848,0.09979451585237005,0.013617174415561567
MEDNG,XGBoost,Training_weighting_effect,AUROC,0.80905152157792,0.8073163143523681,-0.0017352072255519824
MEDNG,XGBoost,Training_weighting_effect,AUPRC,0.3151669116424983,0.3206530166465005,0.005486105004002151
MEDNG,XGBoost,Training_weighting_effect,Recall,0.4379480598738057,0.43018217089529237,-0.0077658889785133245
