Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,9,RATCAT_A,0.11689644104426511,4.486943112303165,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,10,K6SPD_A,0.11037729457578908,4.236712745291841,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,11,DISAB3_A,0.08121892005333729,3.1175001622506766,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,12,SEX_A,0.07497078013396091,2.8776720877130075,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,1,AGEP_A,0.4784387515595419,19.247127412404584,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,2,NOTCOV_A,0.3649073491187592,14.67986909362523,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,3,FDSCAT3_A,0.3462020436003629,13.927372776328651,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,4,PHSTAT_A,0.19541547978183693,7.861375412123376,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,5,EDUCP_A,0.19450538056930278,7.824763002604967,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,6,HISPALLP_A,0.18275207905484392,7.351939070538829,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,7,EMPWRKLSW1_A,0.14207556689103107,5.71556239796134,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,8,CHRONIC_BURDEN_CAT,0.13519247436782295,5.438662254831798,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,9,DISAB3_A,0.12673439877869982,5.098402068973209,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,10,RATCAT_A,0.11742280127065088,4.723805523299916,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,11,K6SPD_A,0.11513459233441291,4.63175309485758,252,1789827.5900000003
