Outcome,Model,Split,Explained_output,Aggregation,Rank,Encoded_feature,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,57,EDUCP_A=Missing,EDUCP_A,0.0009128824009880124,0.028707121273604898,-0.0009128824009880124,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,58,RATCAT_A=5,RATCAT_A,0.0006409029728513845,0.02015427107187731,-2.7979032683468014e-05,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,59,RATCAT_A=13,RATCAT_A,0.0003963233191750177,0.01246305282564458,6.2937904535133e-05,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,60,NOTCOV_A=Missing,NOTCOV_A,0.00023895419827920834,0.00751431634722504,6.363176507719545e-05,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,61,PHSTAT_A=Missing,PHSTAT_A,1.3874806288478942e-05,0.00043631660150316695,1.3874806288478942e-05,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,62,SEX_A=Missing,SEX_A,5.465409582715077e-06,0.00017186898940226624,-5.465409582715077e-06,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,63,DISAB3_A=Missing,DISAB3_A,0.0,0.0,0.0,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,1,FDSCAT3_A=1,FDSCAT3_A,0.010521773381554302,11.196075976937927,0.0005733458335622238,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,2,NOTCOV_A=1,NOTCOV_A,0.009548956291827082,10.160914540431046,0.001006705905039916,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,3,AGEP_A,AGEP_A,0.00872115466523717,9.280062086282832,0.002449864701725109,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,4,NOTCOV_A=2,NOTCOV_A,0.008394467657737142,8.932438883994427,0.0011264418922148154,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,5,FDSCAT3_A=3,FDSCAT3_A,0.0055110817657600735,5.864267165527201,-0.00042545182162609775,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,6,RATCAT_A=14,RATCAT_A,0.004486506972088762,4.774031060070904,0.0002520214276323176,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,7,EMPWRKLSW1_A=1,EMPWRKLSW1_A,0.00397620679651911,4.231027582469051,0.00036183900559725836,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,8,FDSCAT3_A=2,FDSCAT3_A,0.003944276866095155,4.197051377698128,-7.488236587522631e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,9,PHSTAT_A=1,PHSTAT_A,0.0038213533832895203,4.066250171196719,-8.322220742288487e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,10,K6SPD_A=1,K6SPD_A,0.0036855502311139397,3.9217438836605343,-0.00016112255638811945,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,11,EMPWRKLSW1_A=2,EMPWRKLSW1_A,0.0036260312559209503,3.8584105515153633,0.0004143101422151437,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,12,K6SPD_A=2,K6SPD_A,0.003402469481110666,3.6205215070028616,0.00012070416738039325,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,13,DISAB3_A=1,DISAB3_A,0.0024645449176936437,2.622488733263149,-0.00013045857086176348,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,14,DISAB3_A=2,DISAB3_A,0.0022708988519550785,2.41643258797067,-0.00012155403852290154,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,15,PHSTAT_A=4,PHSTAT_A,0.002208519020486311,2.3500550575652643,-9.64757382376056e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,16,CHRONIC_BURDEN_CAT=0,CHRONIC_BURDEN_CAT,0.001724214810001749,1.8347135329091713,8.98251499450153e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,17,PHSTAT_A=5,PHSTAT_A,0.0013670503865070567,1.4546597267023045,-0.00021908878475629547,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,18,PHSTAT_A=3,PHSTAT_A,0.0012493511855614088,1.3294176074866848,-5.150912947489498e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,19,PHSTAT_A=2,PHSTAT_A,0.0011943874041962983,1.270931395150806,3.0479914695839874e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,20,EDUCP_A=5,EDUCP_A,0.0010134185330283282,1.07836488021243,-3.4458255428740883e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,21,SEX_A=1,SEX_A,0.0010054996940785114,1.0699385513687854,-4.916892862098555e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,22,SEX_A=2,SEX_A,0.0008651612172892058,0.9206062865839019,-3.588704273830287e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,23,CHRONIC_BURDEN_CAT=2,CHRONIC_BURDEN_CAT,0.0007774731498585227,0.8272986064407514,-9.687537705216431e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,24,HISPALLP_A=1,HISPALLP_A,0.0006940647555152774,0.7385448682336067,4.142954384603306e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,25,EDUCP_A=4,EDUCP_A,0.00069170823706057,0.7360373289906296,5.371511522246156e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,26,RATCAT_A=8,RATCAT_A,0.000686502049034656,0.7304974951076317,-8.237593623898666e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,27,EDUCP_A=7,EDUCP_A,0.0004170286498998899,0.4437545154721138,-1.2804002963580088e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,28,CHRONIC_BURDEN_CAT=1,CHRONIC_BURDEN_CAT,0.0004107371013386689,0.43705976420256887,9.818186368768366e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,29,HISPALLP_A=2,HISPALLP_A,0.0003591430203625417,0.38215920422836464,4.595602785853175e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,30,FDSCAT3_A=Missing,FDSCAT3_A,0.0003585261196807437,0.3815027686016723,0.00014748559118919275,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,31,EMPWRKLSW1_A=Missing,EMPWRKLSW1_A,0.0003404272481800444,0.36224400555190855,0.0001480652057074061,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,32,HISPALLP_A=4,HISPALLP_A,0.0003368946488709115,0.3584850146644535,1.435481442768267e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,33,EDUCP_A=10,EDUCP_A,0.0002918151071335095,0.3105164873074292,5.705983013091732e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,34,CHRONIC_BURDEN_CAT=3+,CHRONIC_BURDEN_CAT,0.0002846871949474133,0.3029317728777894,0.00011849179229380015,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,35,RATCAT_A=1,RATCAT_A,0.0002636105848872487,0.2805044387191214,-2.706706783219531e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,36,RATCAT_A=10,RATCAT_A,0.000251399692012282,0.26751099365841985,2.0885626659376153e-07,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,37,RATCAT_A=7,RATCAT_A,0.00023341968557084292,0.24837871330185057,-1.908022702769168e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,38,EDUCP_A=3,EDUCP_A,0.00022863833351113557,0.24329094159344064,-2.2814582583453676e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,39,EDUCP_A=1,EDUCP_A,0.00021941109661180442,0.23347236428372334,8.19738406932929e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,40,RATCAT_A=9,RATCAT_A,0.00019572170818343165,0.20826480819282459,-1.1459150463815418e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,41,HISPALLP_A=7,HISPALLP_A,0.00019312195953922941,0.20549845101272632,3.347605707969251e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,42,HISPALLP_A=3,HISPALLP_A,0.0001809624821691637,0.1925597164916258,1.994549425669082e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,43,RATCAT_A=6,RATCAT_A,0.00016815355690212775,0.17892991329475547,-1.2231759507137289e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,44,RATCAT_A=5,RATCAT_A,0.00015540899457866408,0.16536859783091284,8.372685061027019e-06,6417
