Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,3,EMPWRKLSW1_A,0.30222490257706075,11.176493185605366,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,4,AGEP_A,0.28476750424806396,10.530906101951063,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,5,RATCAT_A,0.2380386551638376,8.802839821152538,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,6,NOTCOV_A,0.22235394088499497,8.222807862300456,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,7,FDSCAT3_A,0.21408336170891099,7.916955925500036,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,8,CHRONIC_BURDEN_CAT,0.19997042579617105,7.395049455475104,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,9,EDUCP_A,0.1986817960070608,7.347395003661403,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,10,SEX_A,0.11510329340839698,4.256602164315917,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,11,DISAB3_A,0.06372119658083777,2.3564554518559673,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,12,K6SPD_A,0.05440946486949901,2.0121009491973822,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,1,HISPALLP_A,0.47921000360646565,17.46369882639974,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,2,PHSTAT_A,0.33868953870037705,12.342755900339974,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,3,EMPWRKLSW1_A,0.3054094929793461,11.129941704002405,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,4,AGEP_A,0.280633779727792,10.227048210172713,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,5,NOTCOV_A,0.24451208088760673,8.910676546610894,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,6,RATCAT_A,0.23563581262847103,8.587201505578202,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,7,FDSCAT3_A,0.21652501311907255,7.89075267426808,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,8,EDUCP_A,0.20680539953635252,7.536543865937358,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,9,CHRONIC_BURDEN_CAT,0.20009771923032987,7.2920979908375765,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,10,SEX_A,0.11561729017684252,4.213404393851014,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,11,DISAB3_A,0.06282962127366079,2.289680046414552,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,WTFA_A,12,K6SPD_A,0.05806922245451562,2.1161983355874736,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,1,FDSCAT3_A,0.48343640079110517,16.548440769423998,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,2,NOTCOV_A,0.39937914932441554,13.671089281491348,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,3,PHSTAT_A,0.36973527215511837,12.656354055286966,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,4,EMPWRKLSW1_A,0.32333246636349283,11.067946393139053,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,5,AGEP_A,0.30210144288111856,10.34119033174736,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,6,EDUCP_A,0.24386405831168126,8.347674933369372,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,7,RATCAT_A,0.18881314640806618,6.463235215034214,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,8,CHRONIC_BURDEN_CAT,0.17003984483660606,5.82060907311884,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,9,K6SPD_A,0.1224434862299113,4.191345079025235,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,10,DISAB3_A,0.11899084060189809,4.073158071221337,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,11,SEX_A,0.11365603169595669,3.890543007374884,188,1438230.0329999998
