Outcome,Model,Feature_construct,Explained_output,Level,N,Weighted_mean_SHAP,Weighted_mean_abs_SHAP,Weight_sum
MEDDL,LR,CHRONIC_BURDEN_CAT,base_estimator_log_odds,code_2,1075,0.25473177970418626,0.25473177970418626,7046640.441
MEDDL,RF,SEX_A,base_estimator_positive_class_probability,Missing/special,1,-0.001687079115983449,0.001687079115983449,4611.755
MEDDL,RF,SEX_A,base_estimator_positive_class_probability,code_1,2958,-0.003372731953872817,0.003402426629384449,24662417.391999997
MEDDL,RF,SEX_A,base_estimator_positive_class_probability,code_2,3460,0.002948623668477647,0.002981273567816651,25603154.915
MEDDL,RF,HISPALLP_A,base_estimator_positive_class_probability,code_1,935,-0.0018391298068525623,0.002376059088256876,9079677.384
MEDDL,RF,HISPALLP_A,base_estimator_positive_class_probability,code_2,4243,0.002034345550151679,0.0020349591785142496,30287641.996999998
MEDDL,RF,HISPALLP_A,base_estimator_positive_class_probability,code_3,671,-0.004055251071035951,0.004076041781222809,6134871.62
MEDDL,RF,HISPALLP_A,base_estimator_positive_class_probability,code_4,384,-0.009525399774674747,0.009525399774674747,3311289.384
MEDDL,RF,HISPALLP_A,base_estimator_positive_class_probability,code_5,43,-0.004999880531090457,0.0050012357852334465,289909.742
MEDDL,RF,HISPALLP_A,base_estimator_positive_class_probability,code_6,66,0.0033971436083616367,0.004664279576610968,434208.203
MEDDL,RF,HISPALLP_A,base_estimator_positive_class_probability,code_7,77,0.00929042369128585,0.009325137137202018,732585.7319999998
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,Missing/special,32,0.0026192049819646545,0.0030698011835256474,363870.308
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_1,440,-0.006732097755579529,0.006732097755579529,4132990.264
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_10,249,9.62887503456563e-05,0.001826196240084893,1652957.372
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_2,116,0.0011322097503706514,0.001743517399890451,1212495.1609999998
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_3,147,0.0030651796730451182,0.0033592551065484847,1130892.3709999998
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_4,1491,-0.0038287575986496974,0.003979213072111479,12655618.363
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_5,923,0.003703071319338061,0.0037044665103385553,7577074.116
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_6,276,0.0012974716482702052,0.0017653293647658433,2050406.017
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_7,577,0.002345447106027133,0.0023995229517849615,4617930.43
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_8,1469,0.0014199405353843657,0.0014484622378349774,10106311.267
MEDDL,RF,EDUCP_A,base_estimator_positive_class_probability,code_9,699,0.0031800398755622134,0.0031981460116815024,4769638.392999999
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_1,188,0.003485609921294832,0.004404464620184541,1438230.0329999998
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_10,470,0.008959156410561952,0.008959156410561952,3697012.5979999998
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_11,388,0.0072165572363363205,0.0072165572363363205,3303098.671
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_12,394,0.0034792642303214058,0.0035133369591131072,3100767.9
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_13,324,0.002192264182843916,0.002323887490277757,2607330.073
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_14,1930,-0.01125497155644205,0.01125497155644205,15348993.286000002
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_2,187,0.0014436926983200304,0.00280782726166922,1384944.663
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_3,322,0.0006187112106572428,0.002592549601457657,2378042.798
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_4,252,0.002904719600019637,0.0037525357711062396,1789827.5900000003
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_5,331,0.0028254623668851207,0.003330511267766212,2620717.5870000003
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_6,298,0.005708049318542486,0.0059540272331347665,2170348.889
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_7,274,0.007364759650884962,0.007364759650884962,2014189.3329999999
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_8,530,0.010831987066332335,0.010831987066332335,4181768.7849999997
MEDDL,RF,RATCAT_A,base_estimator_positive_class_probability,code_9,531,0.006121127839180458,0.0061238103706382834,4234911.856000001
MEDDL,RF,EMPWRKLSW1_A,base_estimator_positive_class_probability,Missing/special,193,-0.014535127445550728,0.01454383171775146,1493308.372
MEDDL,RF,EMPWRKLSW1_A,base_estimator_positive_class_probability,code_1,3556,0.01044916151469017,0.01044916151469017,30918994.353
MEDDL,RF,EMPWRKLSW1_A,base_estimator_positive_class_probability,code_2,2670,-0.012753806940224746,0.012753806940224746,17857881.336999997
MEDDL,RF,NOTCOV_A,base_estimator_positive_class_probability,Missing/special,19,0.06459111690524874,0.06459111690524874,173199.387
MEDDL,RF,NOTCOV_A,base_estimator_positive_class_probability,code_1,472,0.13603282433389013,0.13603282433389013,4745382.67
MEDDL,RF,NOTCOV_A,base_estimator_positive_class_probability,code_2,5928,-0.01179052655128367,0.01179052655128367,45351602.004999995
MEDDL,RF,FDSCAT3_A,base_estimator_positive_class_probability,Missing/special,231,0.025221331782467146,0.025254375857793346,1866140.906
MEDDL,RF,FDSCAT3_A,base_estimator_positive_class_probability,code_1,5647,-0.012965889394626754,0.012965889394626754,43861264.938999996
MEDDL,RF,FDSCAT3_A,base_estimator_positive_class_probability,code_2,312,0.08207387255250967,0.08207387255250967,2776281.3880000003
MEDDL,RF,FDSCAT3_A,base_estimator_positive_class_probability,code_3,229,0.15260893239728135,0.15260893239728135,1766496.829
MEDDL,RF,PHSTAT_A,base_estimator_positive_class_probability,Missing/special,3,0.004162645106186927,0.004162645106186927,19857.717
MEDDL,RF,PHSTAT_A,base_estimator_positive_class_probability,code_1,1245,-0.019553638967750458,0.019553638967750458,10907147.961
MEDDL,RF,PHSTAT_A,base_estimator_positive_class_probability,code_2,2066,-0.0012864021921270923,0.0018157605852330777,16045518.833999999
MEDDL,RF,PHSTAT_A,base_estimator_positive_class_probability,code_3,2013,0.006279184094169519,0.006280318223444329,15656320.524
