Outcome,Model,Split,Explained_output,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,8,RATCAT_A,0.19747207525483623,5.443412417836609,0.19747207525483623,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,9,PHSTAT_A,0.157270337227848,4.335232237361382,0.15394155658358952,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,10,EDUCP_A,0.10537115768008862,2.904606473889611,-0.0873758481852946,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,11,EMPWRKLSW1_A,0.07798996677739634,2.149830820762323,-0.07798996677739634,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,12,SEX_A,0.03617909539485048,0.9972941079607215,-0.03617909539485048,6417
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,1,AGEP_A,0.35224852371284926,14.2807475691136,-0.006701857114611193,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,2,PHSTAT_A,0.3286708687311467,13.324869782838396,0.0041080809394329915,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,3,EMPWRKLSW1_A,0.27551446936006874,11.169819952962662,-0.002182270435602376,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,4,FDSCAT3_A,0.24555124382489704,9.955060397084369,-0.018054884819373486,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,5,EDUCP_A,0.2434795169436011,9.871069105049735,-0.012862677889540194,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,6,RATCAT_A,0.24168584966969373,9.798350817144199,0.02529524375079095,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,7,NOTCOV_A,0.1969724082558157,7.985592702369311,0.02523014650269964,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,8,HISPALLP_A,0.18086029441773432,7.332380509735588,0.007011751194038529,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,9,CHRONIC_BURDEN_CAT,0.15972699616505487,6.4756010562173385,-0.00453594813472865,6419
