Outcome,Model,Evaluation_weighting,Seed,Selected_probability,Locked_threshold,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Observed_prevalence,Mean_predicted_probability,Predicted_positive_rate,Decision_rule
MEDNG,RF,Unweighted,2048,Raw,0.1099999999999999,0.8045636898093098,0.30221077814543357,0.5365296803652968,0.22380952380952382,0.3158602150537635,0.8636895801973574,0.05649429655400697,0.06825619448340346,0.06784962559689788,0.16362786348761102,Robustness range only; no seed chosen from test performance.
MEDNG,RF,WTFA_A,2048,Raw,0.1099999999999999,0.8053991836379963,0.32480251661046206,0.5728413071302171,0.21621334697429084,0.3139349996999006,0.8419313278760069,0.05777440932098048,0.07073520223294323,0.07306021352864817,0.1874076983418491,Robustness range only; no seed chosen from test performance.
MEDNG,XGBoost,Unweighted,2026,Raw,0.1849999999999999,0.808325524419181,0.3049280111390447,0.3995433789954338,0.31645569620253167,0.35317860746720486,0.9367787255393879,0.05526331901402843,0.06825619448340346,0.06828712288989298,0.08617734143680848,Robustness range only; no seed chosen from test performance.
MEDNG,XGBoost,WTFA_A,2026,Raw,0.1849999999999999,0.80905152157792,0.3151669116424983,0.4379480598738058,0.31042131241486526,0.3633190147795919,0.92594557392572,0.05669796127348241,0.07073520223294323,0.0735903569626868,0.09979451585237005,Robustness range only; no seed chosen from test performance.
MEDNG,XGBoost,Unweighted,2037,Raw,0.1849999999999999,0.8116455539594059,0.3077883312466801,0.4132420091324201,0.3315018315018315,0.3678861788617886,0.9389530021742767,0.055122092059290716,0.06825619448340346,0.0682601930161004,0.08508648901355774,Robustness range only; no seed chosen from test performance.
MEDNG,XGBoost,WTFA_A,2037,Raw,0.1849999999999999,0.8142465150280975,0.3165883087516495,0.45027443923948113,0.3311860694109288,0.38165619385034194,0.9307839745526268,0.05646724599057,0.07073520223294323,0.07366110567752038,0.0961702694095224,Robustness range only; no seed chosen from test performance.
MEDNG,XGBoost,Unweighted,2048,Raw,0.1849999999999999,0.8099743699600046,0.308064068757957,0.3926940639269406,0.31272727272727274,0.3481781376518218,0.9367787255393879,0.055158643259996205,0.06825619448340346,0.06828450535714539,0.0857098332554153,Robustness range only; no seed chosen from test performance.
MEDNG,XGBoost,WTFA_A,2048,Raw,0.1849999999999999,0.812259701430561,0.32066293803483104,0.42828143500148713,0.3167088549281366,0.3641403779346267,0.9296650878028894,0.05642065046274815,0.07073520223294323,0.07363639885083036,0.09565433187625705,Robustness range only; no seed chosen from test performance.
MEDDL,LR,Unweighted,2026,Platt,0.1599999999999999,0.7844607680353665,0.3167882812401599,0.42829827915869984,0.32558139534883723,0.36994219653179194,0.921302578018996,0.06514695179923942,0.08147686555538246,0.08170657239235694,0.10718180401931765,Robustness range only; no seed chosen from test performance.
MEDDL,LR,WTFA_A,2026,Platt,0.1599999999999999,0.7803025392116243,0.33654982288707114,0.46489137626575233,0.33392599275589807,0.3886728565587552,0.9096322759116767,0.06977604686415412,0.08879820015169453,0.0874931155447167,0.12362475031591819,Robustness range only; no seed chosen from test performance.
MEDDL,LR,Unweighted,2037,Platt,0.1599999999999999,0.7844607680353665,0.3167882812401599,0.42829827915869984,0.32558139534883723,0.36994219653179194,0.921302578018996,0.06514695179923942,0.08147686555538246,0.08170657239235694,0.10718180401931765,Robustness range only; no seed chosen from test performance.
MEDDL,LR,WTFA_A,2037,Platt,0.1599999999999999,0.7803025392116243,0.33654982288707114,0.46489137626575233,0.33392599275589807,0.3886728565587552,0.9096322759116767,0.06977604686415412,0.08879820015169453,0.0874931155447167,0.12362475031591819,Robustness range only; no seed chosen from test performance.
MEDDL,LR,Unweighted,2048,Platt,0.1599999999999999,0.7844607680353665,0.3167882812401599,0.42829827915869984,0.32558139534883723,0.36994219653179194,0.921302578018996,0.06514695179923942,0.08147686555538246,0.08170657239235694,0.10718180401931765,Robustness range only; no seed chosen from test performance.
MEDDL,LR,WTFA_A,2048,Platt,0.1599999999999999,0.7803025392116243,0.33654982288707114,0.46489137626575233,0.33392599275589807,0.3886728565587552,0.9096322759116767,0.06977604686415412,0.08879820015169453,0.0874931155447167,0.12362475031591819,Robustness range only; no seed chosen from test performance.
MEDDL,RF,Unweighted,2026,Platt,0.0799999999999999,0.7967178383244564,0.3106561299405058,0.6730401529636711,0.2064516129032258,0.31597845601436264,0.7705223880597015,0.06523875118375158,0.08147686555538246,0.08114703632878394,0.26561769746066366,Robustness range only; no seed chosen from test performance.
MEDDL,RF,WTFA_A,2026,Platt,0.0799999999999999,0.795102654229988,0.33856704548048844,0.6985159272316315,0.21062672960955683,0.32365905224197644,0.7448856787154742,0.06968133673874348,0.08879820015169453,0.08842404741132917,0.2944875858369997,Robustness range only; no seed chosen from test performance.
MEDDL,RF,Unweighted,2037,Platt,0.0799999999999999,0.7969072268589263,0.31054851077978357,0.6768642447418738,0.21046373365041618,0.3210884353741497,0.7747625508819539,0.06526150251090829,0.08147686555538246,0.08149056663954932,0.26203458482629693,Robustness range only; no seed chosen from test performance.
MEDDL,RF,WTFA_A,2037,Platt,0.0799999999999999,0.7948100871486449,0.33844116646141403,0.7007096145692913,0.21514261973686233,0.3292070412809638,0.750889539448446,0.06970585273342877,0.08879820015169453,0.08880352250791637,0.2892116526183568,Robustness range only; no seed chosen from test performance.
MEDDL,RF,Unweighted,2048,Platt,0.0799999999999999,0.7961720491061122,0.31039057681898363,0.6615678776290631,0.2078078078078078,0.3162705667276051,0.7762890094979648,0.06526791039483414,0.08147686555538246,0.08135685771126445,0.2593861972269824,Robustness range only; no seed chosen from test performance.
MEDDL,RF,WTFA_A,2048,Platt,0.0799999999999999,0.7942815151325591,0.34007960668167364,0.6870726749977347,0.21282139706856978,0.32497995290690945,0.7523431971959813,0.0696621371611187,0.08879820015169453,0.08843548423905033,0.28667614137290764,Robustness range only; no seed chosen from test performance.
MEDDL,XGBoost,Unweighted,2026,Platt,0.1399999999999999,0.803648680377013,0.31516343360512417,0.5200764818355641,0.28601472134595163,0.36906377204884666,0.8848371777476255,0.06491495979853423,0.08147686555538246,0.08113879868972727,0.14815391805577194,Robustness range only; no seed chosen from test performance.
MEDDL,XGBoost,WTFA_A,2026,Platt,0.1399999999999999,0.8016429683496495,0.32930025115608813,0.5325850030682552,0.29234434673820414,0.37748254402897075,0.8743663990590675,0.06993301417316877,0.08879820015169453,0.08560433983999247,0.16177015299904712,Robustness range only; no seed chosen from test performance.
