Outcome,Model,Evaluation_weighting,Selected_probability,Locked_threshold,Axis,Group,N,Positive_N,Negative_N,FN_weighted_count,FP_weighted_count,FNR,FPR,Share_of_all_FN,Share_of_all_FP,Eligibility_rule,Interpretation_boundary
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Age,65-74,1166,34,1132,122227.02799999999,333138.6390000001,0.6594649238140058,0.05383962541215096,0.08250916789736214,0.04478659690514501,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Race_ethnicity,Hispanic,935,81,854,40.0,105.0,0.49382716049382713,0.12295081967213115,0.1520912547528517,0.2777777777777778,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Race_ethnicity,NH White,4242,278,3964,175.0,199.0,0.6294964028776978,0.05020181634712412,0.6653992395437263,0.5264550264550265,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Race_ethnicity,NH Black,670,46,624,29.0,50.0,0.6304347826086957,0.08012820512820513,0.11026615969581749,0.13227513227513227,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Poverty,<100% FPL,697,80,617,46.0,70.0,0.575,0.11345218800648298,0.17490494296577946,0.18518518518518517,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Poverty,100-199% FPL,1156,121,1035,61.0,125.0,0.5041322314049587,0.12077294685990338,0.23193916349809887,0.3306878306878307,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Poverty,>=200% FPL,4564,237,4327,156.0,183.0,0.6582278481012658,0.042292581465218394,0.5931558935361216,0.48412698412698413,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Insurance,Uninsured,471,122,349,29.0,149.0,0.23770491803278687,0.4269340974212034,0.11026615969581749,0.3941798941798942,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Insurance,Insured,5927,314,5613,233.0,225.0,0.7420382165605095,0.04008551576696953,0.8859315589353612,0.5952380952380952,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Sex,Male,2958,179,2779,114.0,142.0,0.6368715083798883,0.05109751709247931,0.43346007604562736,0.37566137566137564,PASS,Group-level aggregate; do not use for individual micro-targeting.
